iddesa,pop2020
1107060009,467
1107060010,554
1107060011,228
1107060012,410
1107060013,580
1107060014,389
1107060015,1231
1107060016,1068
1107060017,484
1107060018,519
1107060019,605
1107060020,296
1107060021,537
1107060022,1204
1107060023,807
1107060024,310
1107060025,110
1107060026,263
1107060027,410
1107060028,96
1107060029,291
1107060030,792
1107060031,406
1107060032,375
1107060033,471
1107060034,315
1107060035,406
1107060036,243
1107060037,355
1107060038,332
1107061001,521
1107061002,731
1107061003,432
1107061004,389
1107061005,287
1107061006,243
1107061007,359
1107061008,390
1107061009,189
1107061010,225
1107061011,498
1107061012,252
1107061013,361
1107061014,807
1107061015,137
1107061016,664
1107061017,324
1107062001,291
1107062002,402
1107062003,215
1107062004,294
1107062005,236
1107062006,664
1107062007,986
1107062008,762
1107062009,222
1107062010,482
1107062011,221
1107062012,756
1107062013,433
1107062014,960
1107062015,475
1107062016,774
1107062017,332
1107062018,125
1107062019,744
1107062020,592
1107062021,250
1107062022,198
1107062023,198
1107062024,253
1107062025,479
1107062026,203
1107062027,405
1107070015,386
1107070016,297
1107070017,475
1107070018,280
1107070023,315
1107070024,414
1107070025,186
1107070026,142
1107070027,316
1107070033,766
1107070034,156
1107070035,504
1107070036,255
1107070037,371
1107070038,193
1107070039,453
1107070040,194
1107070041,402
1107070042,626
1107070043,252
1107070044,368
1107070045,851
1107070046,253
1107070047,484
1107070048,246
1107070049,168
1107070050,521
1107070051,351
1107070052,194
1107070053,213
1107070054,157
1107070055,279
1107070056,110
1107070057,398
1107070058,282
1107070059,226
1107070060,158
1107070062,189
1107070063,195
1107070070,84
1107070071,165
1107070079,296
1107070080,191
1107071001,511
1107071002,174
1107071003,407
1107071004,218
1107071005,229
1107071006,215
1107071007,260
1107071008,352
1107071009,175
1107071010,500
1107071011,364
1107071012,335
1107071013,196
1107071014,192
1107071015,355
1107071016,569
1107071017,649
1107071018,655
1107071019,535
1107071020,207
1107071021,254
1107071022,145
1107071023,149
1107071024,196
1107072001,508
1107072002,404
1107072003,180
1107072004,66
1107072005,64
1107072006,155
1107072007,88
1107072008,53
1107072009,103
1107072010,180
1107072011,119
1107072012,238
1107072013,161
1107072014,360
1107072015,121
1107072016,134
1107072017,105
1107072018,103
1107072019,156
1107072020,280
1107072021,108
